Date ,Open,High,Low,Last,Close,Volume,Value
15-Feb-2022,222.75,231.75,218.8,231.45,230.4,36314556,"8,163,268,287.90"
14-Feb-2022,226,226.85,216,220.5,220.5,38301829,"8,557,890,032.65"
11-Feb-2022,240,242.05,230.2,231.5,232.3,36050888,"8,540,565,868.45"
10-Feb-2022,238.5,244.5,234.1,241.1,241.3,55153254,"13,281,289,212.80"
09-Feb-2022,236.7,238.9,232.6,238.4,238,35604075,"8,420,858,112.30"
08-Feb-2022,252.5,253.6,232.6,233.3,234.85,82053977,"19,543,567,706.30"
07-Feb-2022,255.5,256.7,250.55,251.6,251.8,32770930,"8,320,159,726.95"
04-Feb-2022,253.8,257.9,253,254.95,254.35,39309420,"10,044,757,681.80"
03-Feb-2022,250.55,254.4,249.3,251.8,252.85,27724870,"6,978,766,526.50"
02-Feb-2022,251.9,255,249.25,250.55,250.6,25162901,"6,332,529,412.40"
01-Feb-2022,249.5,256.4,244.8,249.8,249.85,74185275,"18,618,897,296.30"
31-Jan-2022,247.95,249.55,245.3,246.15,246.05,24939671,"6,166,618,443.70"
28-Jan-2022,244.7,250,242.85,244.35,244.05,34523855,"8,511,918,464.85"
27-Jan-2022,235.5,242.35,232.5,241.95,241.05,35920383,"8,508,807,032.50"
25-Jan-2022,226.25,240.85,223,238.6,238.8,39449718,"9,242,652,277.05"
24-Jan-2022,242.5,243.85,226.6,227.95,229.55,43279408,"10,086,080,875.60"
21-Jan-2022,245.8,250.8,238.55,242.7,241.95,35507032,"8,725,145,939.85"
20-Jan-2022,250,252.15,245.15,248.6,248.65,35990609,"8,948,550,010.55"
19-Jan-2022,239,249.7,236.05,249.4,248.5,36751594,"8,916,072,524.00"
18-Jan-2022,250,250.6,237.8,239.3,239.1,30408196,"7,453,166,617.30"
17-Jan-2022,245.9,249.25,245,248,247.85,25339181,"6,272,064,079.00"
14-Jan-2022,243.7,248.5,242.5,243.7,244.4,36940487,"9,088,842,329.15"
13-Jan-2022,239,246.7,236.5,245.05,245.3,50250827,"12,164,754,063.65"
12-Jan-2022,234.9,239.65,234.5,237.5,237.75,32665403,"7,747,842,654.30"
11-Jan-2022,233,236.7,231.8,233.25,233.1,25489182,"5,965,700,866.35"
10-Jan-2022,230.95,233.45,230.4,231.55,231.75,22061859,"5,116,090,380.70"
07-Jan-2022,230.3,232.85,227.1,229.45,229.8,34595209,"7,959,670,980.85"
06-Jan-2022,221.45,229.8,219.5,229.05,228.45,27537005,"6,205,270,035.45"
05-Jan-2022,226.4,226.55,223,223.3,223.5,17271276,"3,870,609,185.50"
04-Jan-2022,224.3,228.25,221,226.6,226.3,32469988,"7,302,682,997.90"
03-Jan-2022,221.2,223.9,216,223.75,223.4,19062825,"4,231,969,505.50"
31-Dec-2021,218.9,222,218.35,220.95,220.95,12737974,"2,811,577,795.15"
30-Dec-2021,218.7,221,217.05,218.65,218.35,14315067,"3,135,266,284.80"
29-Dec-2021,221,223.25,218.85,219.4,219.45,14504319,"3,205,245,691.25"
28-Dec-2021,218.7,222.2,218.5,221.55,221.6,19058757,"4,206,786,517.00"
27-Dec-2021,216.6,217.75,213.8,217.35,217.35,15870056,"3,428,614,444.25"
24-Dec-2021,219.05,219.45,214.15,216.6,216.8,18770416,"4,055,496,353.85"
23-Dec-2021,220,221.25,217.45,218.15,218.05,16940883,"3,712,507,285.35"
22-Dec-2021,214.5,218.7,213.3,218.6,218,21655596,"4,670,168,035.45"
21-Dec-2021,213,216.25,209.85,212.2,211.9,33006180,"7,045,605,591.15"
20-Dec-2021,210.5,211.95,202.8,208.5,209.1,47944121,"9,958,190,749.20"
17-Dec-2021,222.7,222.7,214,215.8,215.8,38813929,"8,409,622,433.60"
16-Dec-2021,229.8,230.05,219.15,222.5,221.9,40645402,"9,052,210,144.10"
15-Dec-2021,229,232.4,227.05,227.65,227.85,20127541,"4,625,269,773.80"
14-Dec-2021,230,230,225.5,229.1,229.05,24698002,"5,628,755,943.55"
13-Dec-2021,230.1,236.5,229,230.5,230.25,40382575,"9,406,276,061.95"
10-Dec-2021,226.4,229.9,225.4,227.65,228,26363105,"6,002,176,355.45"
09-Dec-2021,229.9,230.9,226.8,227.9,227.7,23516676,"5,365,936,532.85"
08-Dec-2021,228,230.8,227,229.65,229.4,30348053,"6,942,260,817.35"
07-Dec-2021,224,227.75,222.75,226.8,226.45,36287629,"8,156,603,526.25"
06-Dec-2021,225.6,226.6,220.1,221,220.85,34399066,"7,688,488,925.20"
03-Dec-2021,226.8,228.3,224.35,225.4,225.6,48145736,"10,888,747,895.85"
02-Dec-2021,230.45,230.45,221.2,226,226.4,78572738,"17,688,413,653.10"
01-Dec-2021,220,227.3,215,227.25,225.2,67127202,"14,804,056,652.90"
30-Nov-2021,221.95,228.25,213.1,216.3,216.8,222571262,"48,709,413,245.40"
29-Nov-2021,226,226.75,213.25,218.9,218.65,83187881,"18,364,626,731.70"
26-Nov-2021,238,240.3,225.75,227,227.35,80108784,"18,549,162,326.85"
25-Nov-2021,239.45,244.4,234,244,242.8,51777691,"12,386,959,757.80"
24-Nov-2021,240,246.7,237.3,238.3,238.55,67847218,"16,484,491,646.45"
23-Nov-2021,223.95,238,222.2,237.4,236.95,61158286,"14,275,292,452.40"
22-Nov-2021,238.4,238.4,224,227.7,227.65,62459802,"14,314,942,977.50"
18-Nov-2021,250.4,252.05,232.45,237,237.1,82052417,"19,688,472,506.55"
17-Nov-2021,244.5,252.5,243,249.8,249.9,58883464,"14,699,362,966.65"
16-Nov-2021,242.15,247.65,241.5,243.95,244.5,47776299,"11,720,494,915.95"
15-Nov-2021,241.85,244,239.3,241.35,241.65,32578602,"7,873,265,284.25"
12-Nov-2021,242,242.4,236,239.9,239.85,42038250,"10,039,312,000.25"
11-Nov-2021,237.5,241.3,235.55,239.9,239.75,50433666,"12,035,791,914.65"
10-Nov-2021,241.4,241.4,236.3,237.5,237,47845906,"11,401,558,017.05"
09-Nov-2021,235,247.95,234.65,242.2,241.9,103894620,"25,283,572,469.00"
08-Nov-2021,233,235.65,228.75,234.8,234.55,53880144,"12,561,267,443.50"
04-Nov-2021,231.8,233.15,230.6,231.2,231.35,14860447,"3,442,921,170.55"
03-Nov-2021,230,230.9,226.2,229.85,228.8,49974804,"11,416,268,991.95"
02-Nov-2021,228,235,227.25,228.6,228.5,91597155,"21,123,963,543.50"
01-Nov-2021,219.95,225.2,214.4,224.2,222.95,59687720,"13,092,953,585.95"
29-Oct-2021,210.5,217.7,201.4,216.15,214.3,115032835,"24,332,217,724.65"
28-Oct-2021,224.8,224.8,216.6,217.95,218,64733467,"14,241,431,958.60"
27-Oct-2021,231.5,232.7,222.7,223.45,224.25,78577000,"17,871,938,681.95"
26-Oct-2021,215.05,232.3,214.25,226,225.3,113036438,"25,503,311,429.05"
25-Oct-2021,224.6,224.9,208,213.45,213.6,92057542,"19,746,737,838.55"
22-Oct-2021,228.5,233.8,216,222.75,222,85764004,"19,199,287,410.00"
21-Oct-2021,234,234.4,220.55,226,226.15,82393222,"18,777,110,527.50"
20-Oct-2021,225,236.3,217.5,231.05,230.35,219286012,"50,067,863,908.05"
19-Oct-2021,266,267.85,221.5,225.75,229.75,245771135,"60,105,873,082.20"
18-Oct-2021,227.5,264.85,223.1,260,257.3,273591610,"69,018,631,058.85"
14-Oct-2021,235,237,220.7,222.45,222.6,126938132,"28,612,529,423.75"
13-Oct-2021,201.65,232.4,200,225.8,224.2,305037222,"66,629,422,758.95"
12-Oct-2021,194.9,198.7,189.8,195.95,195.8,104950239,"20,422,812,984.10"
11-Oct-2021,177.85,193.7,177,191.7,191.5,126307288,"23,811,817,317.30"
08-Oct-2021,180.15,180.2,175,177.5,176.85,43365657,"7,686,155,793.85"
07-Oct-2021,178.35,184,176.85,178.35,177.75,73313810,"13,208,873,225.80"
06-Oct-2021,182.85,182.85,172.8,175.8,175.95,101232618,"17,923,138,607.65"
05-Oct-2021,169,184.75,168.35,179.65,179.4,161189379,"28,839,451,294.25"
04-Oct-2021,166.25,172.5,164,168.5,168.6,93787605,"15,811,802,282.20"
01-Oct-2021,158.75,164.95,156.6,163.5,163.75,90310679,"14,546,562,222.75"
30-Sep-2021,152.5,161.2,151.3,158.5,158.75,111302311,"17,435,922,484.50"
29-Sep-2021,139.8,158.75,138.9,151.45,151.6,126746990,"19,047,053,081.15"
28-Sep-2021,140,142.85,139.05,139.85,140.05,29196888,"4,110,574,454.85"
27-Sep-2021,140.3,140.4,136.75,139.2,138.75,18192368,"2,516,829,078.35"
24-Sep-2021,145,145.35,138.7,139.2,139.1,29040576,"4,091,362,336.20"
23-Sep-2021,139.2,144.9,138.75,144.05,143.65,42890085,"6,127,203,405.15"
22-Sep-2021,136.95,139.65,136.4,138.15,137.85,21321952,"2,942,213,534.35"
21-Sep-2021,134.75,136.3,131.2,136,135.85,22526116,"3,017,625,258.60"
